algo,controle,risque,graine,score,temps_s,fin
glouton,espace,loin_queue,734,219,1531.0,boucle
glouton,espace,loin_queue,735,201,956.2,mort
glouton,espace,loin_queue,724,209,1168.6,mort
glouton,espace,loin_queue,725,223,1297.4,victoire
glouton,espace,loin_queue,726,214,1478.8,boucle
glouton,espace,loin_queue,727,211,815.8,mort
glouton,espace,loin_queue,716,213,1909.4,boucle
glouton,espace,loin_queue,717,214,1426.4,boucle
glouton,espace,loin_queue,718,211,880.4,mort
glouton,espace,loin_queue,719,216,1554.8,boucle
glouton,espace,loin_queue,740,212,1031.6,mort
glouton,espace,loin_queue,741,204,1739.4,boucle
glouton,espace,loin_queue,742,106,249.6,mort
glouton,espace,loin_queue,743,214,1558.6,boucle
glouton,espace,loin_queue,744,223,935.0,victoire
glouton,espace,loin_queue,745,211,1542.6,boucle
glouton,espace,loin_queue,746,167,1078.0,mort
glouton,espace,loin_queue,747,179,1040.6,mort
glouton,espace,loin_queue,776,89,185.8,mort
glouton,espace,loin_queue,777,128,374.0,mort
glouton,espace,loin_queue,778,107,229.0,mort
glouton,espace,loin_queue,779,134,447.8,mort
glouton,espace,loin_queue,756,99,254.0,mort
glouton,espace,loin_queue,757,215,1532.2,boucle
glouton,espace,loin_queue,758,217,1523.0,boucle
glouton,espace,loin_queue,759,113,263.8,mort
glouton,espace,loin_queue,752,128,393.8,mort
glouton,espace,loin_queue,753,206,1494.8,mort
glouton,espace,loin_queue,754,129,370.2,mort
glouton,espace,loin_queue,755,214,1488.4,boucle
glouton,espace,loin_queue,748,204,1335.8,mort
glouton,espace,loin_queue,749,203,983.2,mort
glouton,espace,loin_queue,750,129,375.2,mort
glouton,espace,loin_queue,751,221,1532.4,boucle
glouton,espace,loin_queue,772,212,1485.2,boucle
glouton,espace,loin_queue,773,223,1048.0,victoire
glouton,espace,loin_queue,774,211,973.0,mort
glouton,espace,loin_queue,775,123,314.0,mort
glouton,espace,loin_queue,764,215,915.0,mort
glouton,espace,loin_queue,765,216,1591.6,boucle
glouton,espace,loin_queue,766,221,1784.6,boucle
glouton,espace,loin_queue,767,117,332.6,mort
glouton,espace,loin_queue,760,214,1536.6,boucle
glouton,espace,loin_queue,761,190,986.6,mort
glouton,espace,loin_queue,762,210,1824.2,boucle
glouton,espace,loin_queue,763,220,1481.2,boucle
glouton,espace,loin_queue,768,211,1311.8,mort
glouton,espace,loin_queue,769,201,1744.4,mort
glouton,espace,loin_queue,770,123,340.0,mort
glouton,espace,loin_queue,771,215,1114.0,mort
glouton,espace,loin_queue,788,123,327.2,mort
