partie,score,record,mean100,epsilon,steps,temps_s,victoire
517,28,65,26.790,0.0100,113972,908.0,0
518,9,65,26.500,0.0100,114043,908.5,0
519,19,65,26.360,0.0100,114211,909.9,0
520,16,65,26.220,0.0100,114333,910.8,0
521,16,65,26.170,0.0100,114450,911.8,0
522,16,65,26.110,0.0100,114608,913.0,0
523,32,65,26.160,0.0100,114878,915.1,0
524,33,65,26.190,0.0100,115149,917.2,0
525,26,65,26.040,0.0100,115359,918.8,0
526,25,65,26.010,0.0100,115568,920.5,0
527,43,65,26.180,0.0100,115966,923.8,0
528,29,65,26.080,0.0100,116273,938.6,0
529,41,65,26.280,0.0100,116616,941.4,0
530,16,65,26.130,0.0100,116757,942.5,0
531,37,65,26.370,0.0100,117076,945.4,0
532,18,65,26.370,0.0100,117239,946.8,0
533,23,65,26.340,0.0100,117436,948.5,0
534,47,65,26.600,0.0100,117895,952.3,0
535,42,65,26.830,0.0100,118296,955.4,0
536,42,65,27.070,0.0100,118707,958.8,0
537,31,65,27.240,0.0100,118995,961.3,0
538,19,65,27.140,0.0100,119163,962.6,0
539,28,65,27.240,0.0100,119412,964.8,0
540,14,65,27.100,0.0100,119523,965.8,0
541,27,65,27.220,0.0100,119775,967.9,0
542,39,65,27.260,0.0100,120099,970.5,0
543,32,65,27.300,0.0100,120358,972.6,0
544,20,65,27.250,0.0100,120521,973.9,0
545,18,65,27.220,0.0100,120660,975.0,0
546,31,65,27.360,0.0100,120976,977.5,0
547,13,65,27.120,0.0100,121096,978.4,0
548,44,65,27.240,0.0100,121476,981.7,0
549,21,65,27.220,0.0100,121662,983.3,0
550,37,65,27.500,0.0100,121969,985.6,0
551,27,65,27.490,0.0100,122199,987.4,0
552,18,65,27.290,0.0100,122324,988.4,0
553,30,65,27.510,0.0100,122563,990.2,0
554,26,65,27.570,0.0100,122767,991.8,0
555,16,65,27.510,0.0100,122913,992.9,0
556,12,65,27.440,0.0100,123000,993.5,0
557,10,65,27.350,0.0100,123108,994.3,0
558,20,65,27.410,0.0100,123280,995.6,0
559,45,65,27.490,0.0100,123709,998.9,0
560,33,65,27.500,0.0100,124017,1001.2,0
561,15,65,27.270,0.0100,124140,1001.9,0
562,37,65,27.490,0.0100,124466,1004.5,0
563,29,65,27.440,0.0100,124763,1006.7,0
564,40,65,27.510,0.0100,125084,1009.3,0
565,19,65,27.490,0.0100,125284,1010.7,0
566,16,65,27.230,0.0100,125407,1011.7,0
567,28,65,27.210,0.0100,125644,1013.6,0
568,29,65,27.140,0.0100,125928,1015.8,0
569,37,65,27.260,0.0100,126247,1018.2,0
570,22,65,27.140,0.0100,126438,1019.7,0
571,21,65,27.230,0.0100,126657,1021.3,0
572,37,65,27.210,0.0100,126995,1023.9,0
573,18,65,27.100,0.0100,127139,1024.9,0
